County,Candidate,Party
BIHOR,ROMAN GABRIELA,ALIANȚA NAȚIONAL CREȘTINĂ
BIHOR,BLEJAN CIPRIAN-MIRCEA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BIHOR,GHERLE RAUL-ALIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BIHOR,SEICA ALINA-MARIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BIHOR,LUCACIU IOAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BIHOR,ȚENȚ CRINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BIHOR,MUNTEAN VALENTIN-TEODOR,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BIHOR,IONESCU CERASELA-VIORICA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BIHOR,OLTEAN ROXANA-OANA-IULIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BIHOR,BUDĂU DORIN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BIHOR,COPIL ISTVÁN-LEVENTE,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BIHOR,BLAGA GHEORGHE-COSMIN,FORȚA DREPTEI
BIHOR,ZURBĂU DAN-MARIUS,FORȚA DREPTEI
BIHOR,GHIB FLORICA-MARIA,FORȚA DREPTEI
BIHOR,CINCEA ADRIANA-DUMITRANA-VLADIMIRA,FORȚA DREPTEI
BIHOR,LERNICU CRISTIAN,FORȚA DREPTEI
BIHOR,BALOGH IOSIF,FORȚA DREPTEI
BIHOR,FLORUȚA OCTAVIAN-ADRIAN,PARTIDUL ECOLOGIST ROMÂN
BIHOR,BOLOJAN IOAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,GĂVRILUȚ TITUS,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,BLAGA IOANA-VIORICA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,PELE RADU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,CUC IOAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,MILITARU ANDREEA-ELISABETA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BIHOR,BOLOJAN ILIE-GAVRIL,PARTIDUL NAȚIONAL LIBERAL
BIHOR,BOTA GHEORGHE-IOAN,PARTIDUL NAȚIONAL LIBERAL
BIHOR,ȘCHIOP ANCUȚA-FLORINA,PARTIDUL NAȚIONAL LIBERAL
BIHOR,FILIMON TEOFIL-LAVINIU,PARTIDUL NAȚIONAL LIBERAL
BIHOR,POPA GABRIEL-CĂTĂLIN,PARTIDUL NAȚIONAL LIBERAL
BIHOR,MĂLAN MIRCEA,PARTIDUL NAȚIONAL LIBERAL

BIHOR,TIFIGIU MARIAN-RADU,PARTIDUL NOUA ROMÂNIE
BIHOR,CÎMPAN PETRU,PARTIDUL OAMENILOR TINERI
BIHOR,POPA PETRU-DANIEL,PARTIDUL OAMENILOR TINERI
BIHOR,ȘOMAI LILIANA,PARTIDUL OAMENILOR TINERI
BIHOR,PAVEL ALINA-DIANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BIHOR,VIDICAN PAUL-COSMIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BIHOR,DINCĂ MARIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BIHOR,MATEIU IOANA-ELENA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BIHOR,DUCA SIMINA MARIA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BIHOR,MOHAN AUREL-GEORGE,PARTIDUL SOCIAL DEMOCRAT
BIHOR,GHILEA GABRIEL-TRAIAN,PARTIDUL SOCIAL DEMOCRAT
BIHOR,POLMAN CARMEN-GEORGETA,PARTIDUL SOCIAL DEMOCRAT
BIHOR,HUNIADI CARMEN-ANCA,PARTIDUL SOCIAL DEMOCRAT
BIHOR,AVRAM NICOLAE-IOAN,PARTIDUL SOCIAL DEMOCRAT
BIHOR,VENTER LICINIU-CĂTĂLIN,PARTIDUL SOCIAL DEMOCRAT
BIHOR,LAZA ALEXANDRINA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BIHOR,KRAJCZA TIBERIU-ROLAND,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BIHOR,HOȚOPAN MIHAI,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,ZACH TUDOR-VASILE,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,KOVACS MINERVA,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,DOBÓ DUMITRU,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,PĂIUȘ CARMEN-MARIA,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,TURCUȘ GHEORGHE,PARTIDUL SOCIAL DEMOCRAT UNIT
BIHOR,COBRESCU VIRGIL-CĂTĂLIN,PARTIDUL S.O.S. ROMÂNIA
BIHOR,ANTON MĂDĂLINA,PARTIDUL S.O.S. ROMÂNIA
BIHOR,PAȘCALĂU LUCIAN,PARTIDUL S.O.S. ROMÂNIA
BIHOR,MĂTIUȚ DOREL - MIHAI,PARTIDUL S.O.S. ROMÂNIA
BIHOR,POP MARIA,PARTIDUL S.O.S. ROMÂNIA
BIHOR,DEMIAN IOAN,PARTIDUL S.O.S. ROMÂNIA
BIHOR,BOROȘ ANDREI-CRISTIAN-BOGDAN,PATRIOȚII POPORULUI ROMÂN
BIHOR,FECHETE SORIN-AUREL,PATRIOȚII POPORULUI ROMÂN
BIHOR,DRAGOȘ VASILE-ALEXANDRU,PATRIOȚII POPORULUI ROMÂN
BIHOR,HĂLMĂGEANU IOANA-LILIANA,PATRIOȚII POPORULUI ROMÂN

BIHOR,RITZ ALEXANDRA,PATRIOȚII POPORULUI ROMÂN
BIHOR,FISCHER CONSTANTIN,PATRIOȚII POPORULUI ROMÂN
BIHOR,CRISTEA ADRIAN-MIRCEA,ROMÂNIA SOCIALISTĂ
BIHOR,TIU ELEONORA-IACINTA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BIHOR,CSEKE ATTILA-ZOLTAN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,RITLI LÁSZLÓ-CSONGOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,STAHARÓCZKY NOÉMI-HELÉN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,DUBOVAN CRISTIAN-CSABA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,VIG HAJNALKA-ILDIKÓ,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,SZŰCS GYÖRGY-ÁRON,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BIHOR,PALAGHIANU DANIEL-CRISTIAN,UNIUNEA SALVAȚI ROMÂNIA
BIHOR,KUIBUȘ IOAN,UNIUNEA SALVAȚI ROMÂNIA
BIHOR,MĂGUREANU GENA,UNIUNEA SALVAȚI ROMÂNIA
BIHOR,HALMAGEAN ECATERINA,UNIUNEA SALVAȚI ROMÂNIA
BIHOR,BRISCAN SORIN-MIHAI,UNIUNEA SALVAȚI ROMÂNIA
BIHOR,CUC VASILE,UNIUNEA SALVAȚI ROMÂNIA
BISTRIŢA-NĂSĂUD,CACINA VALENTIN,ALIANȚA NAȚIONAL CREȘTINĂ
BISTRIŢA-NĂSĂUD,MIHĂILĂ CĂTĂLIN-COSMIN,ALIANȚA NAȚIONAL CREȘTINĂ
BISTRIŢA-NĂSĂUD,SPUDERKA CRISTINA-MIHAELA,ALIANȚA NAȚIONAL CREȘTINĂ
BISTRIŢA-NĂSĂUD,COSMA DAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BISTRIŢA-NĂSĂUD,IANOȘ GHEORGHE,ALIANȚA PENTRU UNIREA ROMÂNILOR
BISTRIŢA-NĂSĂUD,JARDA TRAIAN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BISTRIŢA-NĂSĂUD,MICU FLORENTINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BISTRIŢA-NĂSĂUD,BOLDOR IOAN,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BISTRIŢA-NĂSĂUD,BIRO MARIA-DANIELA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BISTRIŢA-NĂSĂUD,BÂRLEA IOAN-COSMIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BISTRIŢA-NĂSĂUD,CÂRCU IOAN-CAIUS,FORȚA DREPTEI
BISTRIŢA-NĂSĂUD,DOBRA DANIEL-BOGDAN,FORȚA DREPTEI
BISTRIŢA-NĂSĂUD,HOZA OTILIA-VIORICA,FORȚA DREPTEI
BISTRIŢA-NĂSĂUD,MOLDOVAN IOAN-LUCIAN,PARTIDUL ECOLOGIST ROMÂN
BISTRIŢA-NĂSĂUD,SIGARTĂU FLOARE-VOICHITA,PARTIDUL ECOLOGIST ROMÂN
BISTRIŢA-NĂSĂUD,SESERMAN MARCEL,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BISTRIŢA-NĂSĂUD,UJICĂ MARIA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN

BISTRIŢA-NĂSĂUD,TURC IOAN,PARTIDUL NAȚIONAL LIBERAL
BISTRIŢA-NĂSĂUD,URÎTE FLORIN-RADU,PARTIDUL NAȚIONAL LIBERAL
BISTRIŢA-NĂSĂUD,MACARIE DOINA,PARTIDUL NAȚIONAL LIBERAL
BISTRIŢA-NĂSĂUD,SOMEȘAN IOAN,PARTIDUL NAȚIONAL LIBERAL
BISTRIŢA-NĂSĂUD,POP ADINA-MARIA,PARTIDUL NOUA ROMÂNIE
BISTRIŢA-NĂSĂUD,ROBE LIVIU SORIN,PARTIDUL OAMENILOR TINERI
BISTRIŢA-NĂSĂUD,MIC ADRIAN-IGNAT,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BISTRIŢA-NĂSĂUD,VIȚAN LILIANA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BISTRIŢA-NĂSĂUD,PUDILIC GRIGORE,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BISTRIŢA-NĂSĂUD,ROTARU IULIUS-DUMITRU,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BISTRIŢA-NĂSĂUD,GORDON-LAZAR ANAMARIA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BISTRIŢA-NĂSĂUD,ACHIM DAN-FLORIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BISTRIŢA-NĂSĂUD,PUȚURA CRISTIAN-VALENTIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BISTRIŢA-NĂSĂUD,MOLDOVAN NICOLAE,PARTIDUL SOCIAL DEMOCRAT
BISTRIŢA-NĂSĂUD,TABĂRĂ CAMELIA,PARTIDUL SOCIAL DEMOCRAT
BISTRIŢA-NĂSĂUD,NICULA MIRCEA-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
BISTRIŢA-NĂSĂUD,MUNTEAN ROXANA-ALINA,PARTIDUL SOCIAL DEMOCRAT
BISTRIŢA-NĂSĂUD,TURDEAN EMIL-FLAVIU,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BISTRIŢA-NĂSĂUD,TURDEAN MIHAELA-MARIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BISTRIŢA-NĂSĂUD,OLAR MARIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BISTRIŢA-NĂSĂUD,FĂTU NADIA-DELIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BISTRIŢA-NĂSĂUD,MANOLACHE VASILE,PARTIDUL S.O.S. ROMÂNIA
BISTRIŢA-NĂSĂUD,DEHELEAN-RĂDĂCINĂ CRISTINA-MARIA,PARTIDUL S.O.S. ROMÂNIA
BISTRIŢA-NĂSĂUD,MĂGHERUȘAN ROZALIA,PARTIDUL S.O.S. ROMÂNIA
BISTRIŢA-NĂSĂUD,ARMAN VASILE-ANDRÁS,PARTIDUL S.O.S. ROMÂNIA
BISTRIŢA-NĂSĂUD,CHISA CLAUDIU-CĂLIN,PATRIOȚII POPORULUI ROMÂN
BISTRIŢA-NĂSĂUD,CHEREJI FLORIN-SILVIU,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BISTRIŢA-NĂSĂUD,ANTAL ATTILA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BISTRIŢA-NĂSĂUD,PAPP ANDREI,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BISTRIŢA-NĂSĂUD,REMAN GHEORGHE,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BISTRIŢA-NĂSĂUD,SUCIU SZERÉN,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BISTRIŢA-NĂSĂUD,SÎNGEORZAN ARTENE,UNIUNEA SALVAȚI ROMÂNIA
BISTRIŢA-NĂSĂUD,MUREȘAN LIANA-ANGELA,UNIUNEA SALVAȚI ROMÂNIA

BISTRIŢA-NĂSĂUD,POPESCU DUMITRU-MUGUREL,UNIUNEA SALVAȚI ROMÂNIA
BISTRIŢA-NĂSĂUD,DUMITRIU-MUREȘAN DRAGOȘ,UNIUNEA SALVAȚI ROMÂNIA
BOTOŞANI,FARAON DANIEL,ALIANȚA NAȚIONAL CREȘTINĂ
BOTOŞANI,SILEGEANU CĂTĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BOTOŞANI,DARIE CĂTĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BOTOŞANI,CATARGIU ANA-MARIA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BOTOŞANI,DIACONESCU CONSTANTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BOTOŞANI,GRĂDINARU RALUCA-MANUELA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BOTOŞANI,BURLACU CIPRIAN-IONEL,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BOTOŞANI,CALMUSCHI DANIELA-IRINA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BOTOŞANI,ALECU DANIEL,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BOTOŞANI,EPURAȘ MARIA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BOTOŞANI,BÎLBĂ RAISA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BOTOŞANI,CIOBBANU DANIEL,CANDIDAT INDEPENDENT
BOTOŞANI,VÎRLAN DORINA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BOTOŞANI,ARIM ANDREI-DANIEL,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BOTOŞANI,SCHNEIKERT DANIELA-SIMONA,FORȚA DREPTEI
BOTOŞANI,GRĂDINARU GABRIEL,FORȚA DREPTEI
BOTOŞANI,GUȚĂ HORAȚIU-NICOLAE,FORȚA DREPTEI
BOTOŞANI,BEJAN GHEORGHE-PETRU,FORȚA DREPTEI
BOTOŞANI,GIMIR GHEORGHE-FLORIN,FORȚA DREPTEI
BOTOŞANI,ZAHARESCU VALENTIN,PARTIDUL ECOLOGIST ROMÂN
BOTOŞANI,ANDRUȘ DĂNUȚ,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BOTOŞANI,LUPU SIMONA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BOTOŞANI,SAVA MARIAN-COSMIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BOTOŞANI,TANASE OVIDIU-LIVIU,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BOTOŞANI,GOROBEȚ CRISTINA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BOTOŞANI,JITARU OVIDIU,PARTIDUL NAȚIONAL LIBERAL
BOTOŞANI,AIFTINCĂ IONELA,PARTIDUL NAȚIONAL LIBERAL
BOTOŞANI,IFTIME VALERIU,PARTIDUL NAȚIONAL LIBERAL
BOTOŞANI,BIDAȘCĂ MARIAN,PARTIDUL NAȚIONAL LIBERAL
BOTOŞANI,SURUCIUC BOGDAN-GHEORGHE,PARTIDUL NAȚIONAL LIBERAL
BOTOŞANI,APETREI ȘTEFAN,PARTIDUL OAMENILOR TINERI

BOTOŞANI,GHERMAN MARINELA-CLAUDIA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BOTOŞANI,STOICIUC MIHAELA-VIORICA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BOTOŞANI,VASILIU SILVIU-IULIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BOTOŞANI,ILIE ANCA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BOTOŞANI,GHEORGHIȚĂ REMUS-MIHAI,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BOTOŞANI,PETRE IOANA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BOTOŞANI,FEDEROVICI DOINA-ELENA,PARTIDUL SOCIAL DEMOCRAT
BOTOŞANI,HUȚU ALEXANDRA,PARTIDUL SOCIAL DEMOCRAT
BOTOŞANI,NISTOR CONSTANTIN-CRISTIAN,PARTIDUL SOCIAL DEMOCRAT
BOTOŞANI,BĂLĂUCĂ MARIA-CRISTINA,PARTIDUL SOCIAL DEMOCRAT
BOTOŞANI,DULGHERU REMUS-DAN,PARTIDUL SOCIAL DEMOCRAT
BOTOŞANI,GÎDEI MAGDALENA,PARTIDUL SOCIAL DEMOCRAT UNIT
BOTOŞANI,IACOB CONSTANTIN-CIPRIAN,PARTIDUL SOCIAL DEMOCRAT UNIT
BOTOŞANI,CRISTACHE MARIUS-CĂTĂLIN,PARTIDUL SOCIAL DEMOCRAT UNIT
BOTOŞANI,AMITITELOAIE ALEXANDRU,PARTIDUL S.O.S. ROMÂNIA
BOTOŞANI,NICHITA IOANA,PARTIDUL S.O.S. ROMÂNIA
BOTOŞANI,URSACHE VICTOR,PARTIDUL S.O.S. ROMÂNIA
BOTOŞANI,CHIFAN LICA,PARTIDUL S.O.S. ROMÂNIA
BOTOŞANI,GROSULEAC BRÎNDUȘA,PARTIDUL S.O.S. ROMÂNIA
BOTOŞANI,MURARU DAN,PATRIOȚII POPORULUI ROMÂN
BOTOŞANI,GEORGIAN CONSTANTIN-NICULAE,ROMÂNIA SOCIALISTĂ
BOTOŞANI,DIANU SIMONA-IULIA,ROMÂNIA SOCIALISTĂ
BOTOŞANI,SOMOGYI TAMÁS-LÉNÁRD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BOTOŞANI,KISDED LEANDER,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BOTOŞANI,NAGY GABRIELA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BOTOŞANI,POZSAR VIORICA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BOTOŞANI,BALOGH IOSIF,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BOTOŞANI,OLENIUC MAGDA,UNIUNEA SALVAȚI ROMÂNIA
BOTOŞANI,JIJIE FLORIN,UNIUNEA SALVAȚI ROMÂNIA
BOTOŞANI,CÎȘLARIU MARIUS-ADRIAN,UNIUNEA SALVAȚI ROMÂNIA
BOTOŞANI,ROȘCĂNEANU RADU,UNIUNEA SALVAȚI ROMÂNIA
BOTOŞANI,URSU CĂTĂLIN,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,JORDACHE JON CHRISTOPHER,ALIANȚA NAȚIONAL CREȘTINĂ

BRAŞOV,ȘIULEA RADU,ALIANȚA NAȚIONAL CREȘTINĂ
BRAŞOV,SOLOSCHI LOREDANA-IONELA,ALIANȚA NAȚIONAL CREȘTINĂ
BRAŞOV,PRICOPE RAMONA-LILIANA,ALIANȚA NAȚIONAL CREȘTINĂ
BRAŞOV,CORNEA LIVIU-MATEI,ALIANȚA NAȚIONAL CREȘTINĂ
BRAŞOV,IORDACHE ION,ALIANȚA NAȚIONAL CREȘTINĂ
BRAŞOV,BARCARI DORINA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRAŞOV,FLUCUȘ DUMITRU,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRAŞOV,POPA DAN-CĂTĂLIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRAŞOV,FLOREA MIHAELA-LUMINIȚA,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRAŞOV,DIMITRESCU DANIEL-CONSTANTIN,ALIANȚA PENTRU UNIREA ROMÂNILOR
BRAŞOV,ADAM VLADUȚA,ALTERNATIVA PENTRU DEMNITATE NAȚIONALĂ
BRAŞOV,CALIPAR FLORIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BRAŞOV,PETICILĂ MARIAN-CONSTANTIN,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BRAŞOV,ICHIM ANIȘOARA,DREPTATE ȘI RESPECT ÎN EUROPA PENTRU TOȚI
BRAŞOV,SÂRGHIE OVIDIU,FORȚA DREPTEI
BRAŞOV,ENACHE SORIN,FORȚA DREPTEI
BRAŞOV,NECULĂESCU MARIUS-TIBI,FORȚA DREPTEI
BRAŞOV,CLINCIU GEORGE,FORȚA DREPTEI
BRAŞOV,MIHAI CRISTIAN-SORIN,FORȚA DREPTEI
BRAŞOV,PASCU VENERA,FORȚA DREPTEI
BRAŞOV,NĂMĂESCU CĂTĂLIN-COSMIN,PARTIDUL ECOLOGIST ROMÂN
BRAŞOV,LUNGOCI CAMELIA-CLAUDIA,PARTIDUL ECOLOGIST ROMÂN
BRAŞOV,MIHAI NICOLAE-CĂTĂLIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRAŞOV,GRAMA CĂLIN-ȘTEFAN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRAŞOV,COSMA ALIN,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRAŞOV,GHIȚĂ COSTELA-BEATRICE,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRAŞOV,GHEORGHE TEODORA,PARTIDUL NAȚIONAL CONSERVATOR ROMÂN
BRAŞOV,VEȘTEA MIHAIL,PARTIDUL NAȚIONAL LIBERAL
BRAŞOV,STERPU CIPRIAN,PARTIDUL NAȚIONAL LIBERAL
BRAŞOV,VECERDI CRISTINA-AGNES,PARTIDUL NAȚIONAL LIBERAL
BRAŞOV,PĂDURARIU MONICA,PARTIDUL NAȚIONAL LIBERAL
BRAŞOV,GHIȚĂ DAN-DUMITRU,PARTIDUL NAȚIONAL LIBERAL
BRAŞOV,CHIRICHEȘ ANDREI-CIPRIAN,PARTIDUL NAȚIONAL LIBERAL

BRAŞOV,CĂLIN FLORIN-ALEXANDRU,PARTIDUL NOUA ROMÂNIE
BRAŞOV,FLOREA BOGDAN,PARTIDUL OAMENILOR TINERI
BRAŞOV,IONESCU ADRIAN-EUGEN,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BRAŞOV,COMAN ELENA-CORINA,REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI
BRAŞOV,REIT LARISA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,BĂLĂȘCAN EDUARD-LAURIAN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,BLEJAN RALUCA-ELENA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,MUSCALU-CREȚU FLORIN,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,GAL NICOLETA-ANDREEA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,STATE ELENA,PARTIDUL ROMÂNIA ÎN ACȚIUNE
BRAŞOV,DUNCA MARIUS-ALEXANDRU,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,PATRAȘCU LUCIAN,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,POPA RĂZVAN,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,HENEGAR IOANA-ADRIANA,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,GĂITAN LARISIA-GABRIELA,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,ALECU ȘTEFAN,PARTIDUL SOCIAL DEMOCRAT
BRAŞOV,CARAGHIN DRAGOȘ-VALENTIN,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,CORLADE PATRICIA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,DIMA ANDREEA-IOANA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,ARGHINOIU EDDA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,ZAHARIA LIVIU,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,CHIRIACESCU MARIANA,PARTIDUL SOCIAL DEMOCRAT INDEPENDENT
BRAŞOV,IACOB FLORIN-GABRIEL,PARTIDUL SOCIAL DEMOCRAT UNIT
BRAŞOV,JERCA SIMONA-CĂTĂLINA,PARTIDUL SOCIAL DEMOCRAT UNIT
BRAŞOV,COLCEAG FLORIAN,PARTIDUL S.O.S. ROMÂNIA
BRAŞOV,CUIBAR DUMITRU,PARTIDUL S.O.S. ROMÂNIA
BRAŞOV,ALUPOAIE MIHAELA,PARTIDUL S.O.S. ROMÂNIA
BRAŞOV,PAMPU GHEORGHE-ADRIAN,PARTIDUL S.O.S. ROMÂNIA
BRAŞOV,RADU RODICA,PARTIDUL S.O.S. ROMÂNIA
BRAŞOV,RÂȘNOVEANU NICOLAE-RĂZVAN,PATRIOȚII POPORULUI ROMÂN
BRAŞOV,IOANA MARIA,ROMÂNIA SOCIALISTĂ
BRAŞOV,POȚINCU ANA-LOREDANA,ROMÂNIA SOCIALISTĂ
BRAŞOV,DINCĂ IULIAN,ROMÂNIA SOCIALISTĂ

BRAŞOV,NEAGU CRISTINA-MARIA,SĂNĂTATE EDUCAŢIE NATURĂ SUSTENABILITATE
BRAŞOV,MAGYAR ÁRPÁD,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,TÓTH SÁNDOR,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,ANTONYA CSABA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,PETKI PÁL,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,ENACHE ILDIKO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,BARABÁS LASZLO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA
BRAŞOV,DARĂU AMBROZIE-IRINEU,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,OLARIU DANIELA,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,GÂRBACEA FLORIN-GEORGE,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,MATEI FILOFTEIA,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,LEFTER LAURA-ELENA,UNIUNEA SALVAȚI ROMÂNIA
BRAŞOV,COJANU MARIAN,UNIUNEA SALVAȚI ROMÂNIA
BRĂILA,BERECHET VALENTIN,ALIANȚA NAȚIONAL CREȘTINĂ
